PlotCode	Lat	Long	PlotArea	No.Ind.	No.Species	No.Genera	Multiple.census	Plot.team	Network
SAA-02	-9.64	-50.45	1	546	74	58	0	Beatriz Marimon; Ben Hur Marimon Junior; Eder Carvalho das Neves; Fernando Elias	RAINFOR
SAT-01	-9.84	-50.46	1	518	78	63	0	Beatriz Marimon; Ben Hur Marimon Junior; Eder Carvalho das Neves; Fernando Elias	RAINFOR
SAW-01	-2.64	-77.15	1	555	118	87	0	Kenneth Young; Ophelia Wang	RAINFOR
SCR-04	1.93	-67.04	1	1035	48	34	1	Gerardo Aymard; Jon Lloyd; Oliver Phillips; Rafael Herrera Fernández	RAINFOR 
SCR-05	1.93	-67.04	1	934	131	80	1	Carlos Quesada; Gerardo Aymard; Oliver Phillips	RAINFOR 
SCT-01	-17.09	-64.77	1	744	78	58	1	Luzmilla Arroyo; Casimiro Mendoza; Oliver Phillips; Roel Brienen	RAINFOR 
SCT-06	-17.09	-64.77	1	844	70	55	1	Luzmilla Arroyo; Casimiro Mendoza; Oliver Phillips; Roel Brienen	RAINFOR
SHI-01	-1.02	-76.98	1	628	193	120	0	Carlos Céron; Nigel Pitman	RAINFOR
SHR-01	-10.31	-75.11	0.1	63	48	40	0	Alwyn Gentry	Gentry
SIP-01	-11.41	-55.32	1	474	40	39	0	Marcos Silveira	RAINFOR
SJO-01	-4.06	-73.2	0.5	580	10	10	0	Eurídice Honorio	RAINFOR
SRT-01	-1.46	-47.92	1	531	136	88	1	Ima Vieira	RAINFOR
SUC-01	-3.25	-72.91	1	830	378	167	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
SUC-02	-3.25	-72.9	1	835	355	161	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
SUC-03	-3.25	-72.92	1	687	94	58	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
SUC-04	-3.25	-72.89	1	698	264	135	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
SUC-05	-3.26	-72.89	1	660	204	110	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
SUC-10	-3.25	-72.91	0.08	49	40	35	0	Alwyn Gentry; Rodolfo Vasquez	Gentry
TAM-01	-12.84	-69.29	1	953	209	122	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-02	-12.83	-69.29	1	1039	235	128	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-03	-12.84	-69.28	0.58	395	29	26	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-04	-12.84	-69.28	0.42	458	182	106	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-05	-12.83	-69.27	1	891	210	115	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-06	-12.84	-69.3	1	904	226	128	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-07	-12.83	-69.26	1	923	194	112	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-08	-12.83	-69.27	1	663	158	96	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
TAM-09	-12.83	-69.28	1	594	174	118	1	Oliver Phillips; Yadvinder Malhi	RAINFOR
TAM-20	-12.78	-69.28	0.1	57	32	29	0	Alwyn Gentry; Kenneth Young	Gentry
TAM-21	-12.84	-69.29	0.1	75	38	32	0	Alwyn Gentry	Gentry
TAM-22	-12.78	-69.28	0.1	65	38	32	0	Alwyn Gentry	Gentry
TAM-23	-12.83	-69.27	0.1	80	47	38	0	Alwyn Gentry	Gentry
TAN-02	-13.09	-52.38	1	549	53	41	1	Beatriz Marimon; Ben Hur Marimon Junior; Jon Lloyd; Oliver Phillips; Ted Feldpausch	RAINFOR
TAN-03	-12.82	-52.36	1	641	53	38	1	Beatriz Marimon; Ben Hur Marimon Junior; Jon Lloyd; Oliver Phillips; Ted Feldpausch	RAINFOR
TAN-04	-12.92	-52.37	1	660	60	44	1	Beatriz Marimon; Ben Hur Marimon Junior; Jon Lloyd; Oliver Phillips; Ted Feldpausch	RAINFOR
TAP-50	-3.31	-54.94	0.25	180	63	54	1	Natalino Silva	RAINFOR 
TAP-51	-3.31	-54.94	0.25	159	60	51	1	Natalino Silva	RAINFOR 
TAP-52	-3.31	-54.94	0.25	159	68	59	1	Natalino Silva	RAINFOR 
TAP-53	-3.31	-54.94	0.25	130	54	47	1	Natalino Silva	RAINFOR 
TAP-54	-3.31	-54.95	0.25	153	57	45	1	Natalino Silva	RAINFOR 
TAP-55	-3.31	-54.95	0.25	152	58	49	1	Natalino Silva	RAINFOR 
TAP-56	-3.31	-54.95	0.25	146	58	52	1	Natalino Silva	RAINFOR 
TAP-57	-3.31	-54.95	0.25	128	59	49	1	Natalino Silva	RAINFOR 
TAP-58	-3.31	-54.94	0.25	154	57	51	1	Natalino Silva	RAINFOR 
TAP-59	-3.31	-54.94	0.25	153	66	55	1	Natalino Silva	RAINFOR 
TAP-60	-3.31	-54.94	0.25	133	58	49	1	Natalino Silva	RAINFOR 
TAP-61	-3.31	-54.94	0.25	141	62	54	1	Natalino Silva	RAINFOR 
TAY-01	11.33	-74.03	0.1	73	31	28	0	Alwyn Gentry	Gentry
TEC-01	-1.71	-51.46	1	544	135	78	1	Leandro Ferreira	TEAM
TEC-02	-1.74	-51.49	1	537	163	100	1	Leandro Ferreira	TEAM
TEC-03	-1.73	-51.51	1	465	132	89	1	Leandro Ferreira	TEAM
TEC-04	-1.75	-51.52	1	517	153	95	1	Leandro Ferreira	TEAM
TEC-05	-1.78	-51.59	1	557	162	98	1	Leandro Ferreira	TEAM
TEC-06	-1.73	-51.43	1	514	149	92	1	Leandro Ferreira	TEAM
TEM-01	-2.97	-59.9	1	651	289	134	1	Ieda Amaral; Atila Alves	TEAM
TEM-02	-2.93	-59.95	1	643	261	129	1	Ieda Amaral; Atila Alves	TEAM
TEM-03	-2.41	-59.9	1	705	267	126	1	Ieda Amaral; Atila Alves	TEAM
TEM-04	-2.43	-59.79	1	655	260	125	1	Ieda Amaral; Atila Alves	TEAM
TEM-05	-2.62	-60.21	1	725	292	139	1	Ieda Amaral; Atila Alves	TEAM
TEM-06	-2.6	-60.11	1	751	274	124	1	Ieda Amaral; Atila Alves	TEAM
TIP-01	-0.66	-76.4	1	702	166	106	1	Abel Monteagudo; Nigel Pitman; Roel Brienen	RAINFOR
TIP-02	-0.63	-76.14	0.8	655	221	128	1	Abel Monteagudo,David Neill,Oliver Phillips,Roel Brienen	RAINFOR 
TIP-03	-0.64	-76.15	1	605	134	93	1	Abel Monteagudo,David Neill,Oliver Phillips,Roel Brienen	RAINFOR 
TMP-01	-13.13	-69.57	2.25	1306	233	138	0	John Terborgh; Percy Núñez Vargas	RAINFOR
TUT-01	5.76	-76.58	0.1	76	50	41	0	Alwyn Gentry	Gentry
VCR-01	-14.83	-52.16	0.64	377	26	24	1	Beatriz Marimon; Ben Hur Marimon Junior; Ted Feldpausch; Jon Lloyd	RAINFOR
VCR-02	-14.83	-52.17	0.6	338	59	51	1	Beatriz Marimon; Ben Hur Marimon Junior; Ted Feldpausch; Jon Lloyd	RAINFOR
VCR-03	-14.83	-52.16	1	285	17	17	1	Beatriz Marimon; Ben Hur Marimon Junior; Ted Feldpausch; Jon Lloyd	RAINFOR
VCR-04	-14.83	-52.17	1	485	73	57	1	Beatriz Marimon; Ben Hur Marimon Junior; Ted Feldpausch; Jon Lloyd	RAINFOR
VEN-01	-4.67	-73.82	0.5	277	35	32	0	Eurídice Honorio; Fredy Rodriguez Dávila	RAINFOR
VEN-02	-4.67	-73.82	0.5	346	28	27	0	Eurídice Honorio; Fredy Rodriguez Dávila	RAINFOR
VTU-01	4.1	-66.63	0.1	79	33	29	0	Gerardo Aymard	RAINFOR
VTU-02	4.1	-66.65	0.1	94	39	34	0	Gerardo Aymard	RAINFOR
VTU-03	4.08	-66.62	0.1	131	19	19	0	Gerardo Aymard	RAINFOR
VTU-04	4.18	-66.52	0.1	113	35	31	0	Gerardo Aymard	RAINFOR
VTU-05	4.08	-66.72	0.1	119	37	33	0	Gerardo Aymard	RAINFOR
VTU-06	4.13	-66.47	0.1	66	35	34	0	Gerardo Aymard	RAINFOR
VTU-07	4.08	-66.43	0.1	53	21	21	0	Gerardo Aymard	RAINFOR
VTU-08	4.7	-66.3	0.1	102	37	35	0	Gerardo Aymard	RAINFOR
YAN-01	-3.43	-72.84	1	992	367	188	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
YAN-02	-3.43	-72.84	1	670	279	139	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR 
YAN-11	-3.43	-72.85	0.1	52	41	32	0	Alwyn Gentry; Rodolfo Vasquez	Gentry
YAN-12	-3.43	-72.85	0.1	57	47	44	0	Alwyn Gentry; Rodolfo Vasquez	Gentry
YAN-13	-3.46	-72.83	0.1	74	50	45	0	Alwyn Gentry; Rodolfo Vasquez	Gentry
YUT-01	-2.35	-76.43	1	608	171	110	0	Kenneth Young; Ophelia Wang	RAINFOR
ZAR-01	-4.01	-69.91	1	888	55	45	1	Eliana Jimenez, Jon Lloyd, Maria Peñuela, Oliver Phillips	RAINFOR 
ZAR-02	-4	-69.9	1	664	166	111	1	Eliana Jimenez, Jon Lloyd, Maria Peñuela, Oliver Phillips	RAINFOR 
ZAR-03	-3.99	-69.9	1	714	204	120	1	Eliana Jimenez, Jon Lloyd, Maria Peñuela, Oliver Phillips	RAINFOR 
ZAR-04	-3.99	-69.91	1	667	129	84	1	Eliana Jimenez, Jon Lloyd, Maria Peñuela, Oliver Phillips	RAINFOR 
