Colony,Distance,Mass,Headwidth,Headwidth (mm),Size class
5.000,7.000,78.000,38.000,1.600,35-39
5.000,7.000,81.000,36.000,1.516,35-39
5.000,7.000,108.000,43.000,1.811,40-43
5.000,7.000,58.000,38.000,1.600,35-39
5.000,7.000,105.000,46.000,1.937,>43
5.000,7.000,63.000,37.000,1.558,35-39
5.000,7.000,109.000,41.000,1.726,40-43
5.000,7.000,86.000,42.000,1.768,40-43
5.000,7.000,125.000,45.000,1.895,>43
5.000,7.000,75.000,36.000,1.516,35-39
5.000,7.000,109.000,41.000,1.726,40-43
5.000,7.000,80.000,43.000,1.811,40-43
5.000,7.000,62.000,41.000,1.726,40-43
5.000,7.000,139.000,46.000,1.937,>43
5.000,7.000,92.000,43.000,1.811,40-43
5.000,7.000,100.000,45.000,1.895,>43
5.000,7.000,90.000,43.000,1.811,40-43
5.000,7.000,75.000,41.000,1.726,40-43
5.000,7.000,93.000,42.000,1.768,40-43
5.000,7.000,135.000,45.000,1.895,>43
5.000,7.000,132.000,43.000,1.811,40-43
5.000,7.000,84.000,41.000,1.726,40-43
