Family,Species_number,Species_name,English_name,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System
105,4022,Mionectes rufiventris,Grey-hooded Flycatcher,NA,NA,NA,NA,13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4093,Camptostoma imberbe,Northern Beardless-Tyrannulet,NA,NA,NA,NA,7.4,13,55.4,93,51.7,74,NA,NA,13,93,12.9,73,NA,NA,8,92,8,72,NA,NA,44.3,35,40,32,NA,NA,2,1.3,NA
105,4104,Myiopagis gaimardii,Forest Elaenia,12,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4109,Myiopagis viridicata,Greenish Elaenia,14,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4112,Elaenia flavogaster,Yellow-bellied Elaenia,24,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,2
105,4193,Oncostoma olivaceum,Southern Bentbill,8,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4209,Onychorhynchus coronatus,Royal Flycatcher,18.6,NA,15.1,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4222,Myiobius barbatus,Sulphur-rumped Flycatcher,12,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4236,Contopus borealis,Olive-sided Flycatcher,34.5,8,31.9,9,31.8,NA,NA,NA,NA,NA,NA,NA,14.9,8,14.9,6,NA,NA,13.3,18,12.9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,2
105,4237,Contopus pertinax,Greater Pewee,NA,NA,NA,NA,27.2,27,107,9,101.3,8,NA,NA,16.11,4,16.5,NA,NA,NA,19.13,4,18.3,NA,NA,NA,107,9,101.3,8,NA,NA,3.27,2.76,NA
105,4241,Contopus sordidulus,Western Wood-Pewee,12.8,6,12.2,5,NA,NA,84,6,80,5,NA,NA,13.1,6,12.9,5,NA,NA,12.1,6,12.1,5,NA,NA,65,29,68,21,NA,NA,3.02,NA,2
105,4242,Contopus virens,Eastern Wood-Pewee,NA,NA,NA,NA,14.1,135,84.4,12,78.5,4,NA,NA,13.7,NA,13.2,NA,NA,NA,12,12,11.1,4,NA,NA,65.7,43,63.5,40,NA,NA,3,1.77,2
105,4248,Empidonax flaviventris,Yellow-bellied Flycatcher,NA,NA,NA,NA,11.3,2589,67.6,70,64.3,31,NA,NA,NA,NA,NA,NA,16.3,61,NA,NA,NA,NA,NA,NA,50.9,68,49,29,NA,NA,4,1.64,2
105,4249,Empidonax virescens,Acadian Flycatcher,12.8,45,12.8,67,NA,NA,69.7,45,73.1,67,NA,NA,14.8,12,15.5,24,NA,NA,NA,NA,NA,NA,NA,NA,57.9,19,62.5,11,NA,NA,2.82,1.86,2
105,4250,Empidonax alnorum,Alder Flycatcher,13.2,9,13.8,6,NA,NA,72.07,49,68.63,8,NA,NA,16.64,49,16.68,8,NA,NA,NA,NA,NA,NA,NA,NA,58.7,45,57.9,8,NA,NA,3.5,NA,2
105,4251,Empidonax traillii,Willow Flycatcher,12.7,373,12.5,369,NA,NA,70.55,50,67.01,18,NA,NA,16.47,50,16.67,18,NA,NA,9.12,47,8.85,19,NA,NA,58.4,28,55.2,38,NA,NA,3.42,1.75,2
105,4253,Empidonax minimus,Least Flycatcher,11.1,5,10.2,6,10.43,157,63.9,23,60.1,32,NA,NA,16.04,20,15.64,5,NA,NA,9.9,NA,NA,NA,9.8,157,55.9,NA,NA,NA,NA,NA,3.94,1.39,2
105,4254,Empidonax hammondii,Hammond's Flycatcher,10.6,91,10.3,44,10.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.45,2
105,4255,Empidonax wrightii,Grey Flycatcher,NA,NA,NA,NA,12.5,16,71,61,68,55,NA,NA,18.08,45,17.85,29,NA,NA,NA,NA,NA,NA,NA,NA,63.1,23,60.3,14,NA,NA,3.52,1.6,2
105,4256,Empidonax oberholseri,Dusky Flycatcher,NA,NA,NA,NA,10.4,16,69.5,63,65.5,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,35,60.4,23,NA,NA,3.68,NA,2
105,4257,Empidonax affinis,Pine Flycatcher,NA,NA,NA,NA,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4258,Empidonax difficilis,Pacific-slope Flycatcher,NA,NA,NA,NA,10.7,606,65.5,100,62.5,100,NA,NA,NA,NA,NA,NA,NA,NA,8.4,16,7.84,5,NA,NA,58.6,13,55.7,5,NA,NA,3.3,1.52,2
105,4259,Empidonax occidentalis,Cordilleran Flycatcher,NA,NA,NA,NA,11.4,17,67.5,62,66.5,60,NA,NA,NA,NA,NA,NA,NA,NA,8.4,32,8.47,10,NA,NA,61.6,27,58.6,10,NA,NA,3.3,NA,NA
105,4261,Empidonax fulvifrons,Buff-breasted Flycatcher,8.1,6,7.7,3,NA,NA,61.3,10,56.4,7,NA,NA,14.3,13,14.1,8,NA,NA,10,13,9.6,8,NA,NA,47,10,45.3,7,NA,NA,3.5,1.15,NA
105,4264,Sayornis saya,Say's Phoebe,NA,NA,NA,NA,21.2,8,104,54,98.9,48,NA,NA,20.4,22,19.6,17,NA,NA,15.7,22,14.4,17,NA,NA,82.5,54,79.4,48,NA,NA,3.98,2.3,2
105,4265,Sayornis nigricans,Black Phoebe,19,14,17.5,45,NA,NA,88.8,37,84.9,65,NA,NA,17.5,23,17.1,24,NA,NA,11.4,23,10.9,24,NA,NA,80.4,23,76.2,24,NA,NA,4.21,2.1,2
105,4266,Pyrocephalus rubinus,Vermilion Flycatcher,12.4,4,13.4,7,NA,NA,78.77,23,75.62,15,NA,NA,15.45,23,16.21,15,NA,NA,9.24,22,9.67,14,NA,NA,60,23,58.5,14,NA,NA,2.73,NA,2
105,4334,Colonia colonus,Long-tailed Tyrant,16.3,NA,17.1,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4349,Laniocera rufescens,Speckled Mourner,49,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4354,Myiarchus tuberculifer,Dusky-capped Flycatcher,21,20,19,17,NA,NA,89.4,60,84.2,47,NA,NA,18.8,NA,17.8,NA,NA,NA,17.8,NA,17.3,NA,NA,NA,83,58,78.5,45,NA,NA,3.54,2.38,2
105,4363,Myiarchus cinerascens,Ash-throated Flycatcher,28.7,164,27.2,104,NA,NA,99.9,260,94.2,181,NA,NA,22.9,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,257,86,177,NA,NA,4.3,3.42,2
105,4365,Myiarchus crinitus,Great Crested Flycatcher,NA,NA,NA,NA,33.5,70,103.8,20,98.9,20,NA,NA,NA,NA,NA,NA,NA,NA,15.08,20,14.87,20,NA,NA,91.4,20,85.3,20,NA,NA,5,3.65,2
105,4366,Myiarchus tyrannulus,Brown-crested Flycatcher,44.5,11,43,8,38,11,108,63,101,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,11,92,100,87,50,NA,NA,4.5,4.15,2
105,4367,Myiarchus nugator,Grenada Flycatcher,NA,NA,NA,NA,43.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4370,Myiarchus sagrae,La Sagra's Flycatcher,NA,NA,NA,NA,18.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4372,Myiarchus antillarum,Puerto Rican Flycatcher,NA,NA,NA,NA,23.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4380,Tyrannus melancholicus,Tropical Kingbird,36.5,20,38.6,15,NA,NA,113.5,14,111.3,18,NA,NA,18.8,14,19.1,18,NA,NA,18.6,14,18.4,18,NA,NA,94.3,14,93.7,18,NA,NA,3,4.41,2
105,4381,Tyrannus couchii,Couch's Kingbird,NA,NA,NA,NA,39,32,126.7,NA,119.4,NA,NA,NA,19.3,NA,19.3,NA,NA,NA,22.4,NA,21.9,NA,NA,NA,104.4,NA,94.7,NA,NA,NA,3,NA,NA
105,4382,Tyrannus vociferans,Cassin's Kingbird,45,8,41.4,8,NA,NA,129.7,19,121.4,14,NA,NA,21.5,19,21.4,14,NA,NA,19.7,19,18.3,14,NA,NA,129.7,19,121.4,14,NA,NA,4.07,3.73,2
105,4383,Tyrannus crassirostris,Thick-billed Kingbird,56.4,8,54.9,4,NA,NA,134,6,130,7,NA,NA,20.2,6,19.7,7,NA,NA,26.7,6,24.8,7,NA,NA,101.4,6,97.6,7,NA,NA,4.25,4.08,2
105,4384,Tyrannus verticalis,Western Kingbird,38.5,9,37.3,9,NA,NA,127.9,19,118.9,11,NA,NA,20.3,18,20.8,11,NA,NA,17.8,20,17.3,11,NA,NA,NA,NA,NA,NA,NA,NA,3.85,3.88,NA
105,4385,Tyrannus forficatus,Scissor-tailed Flycatcher,39.2,51,39.4,55,NA,NA,124.4,51,114.3,57,NA,NA,20.13,51,19.98,57,NA,NA,13.8,30,13.28,34,NA,NA,216.8,51,146.7,56,NA,NA,4.58,3.43,2
105,4386,Tyrannus savana,Fork-tailed Flycatcher,32,NA,27.3,NA,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4387,Tyrannus tyrannus,Eastern Kingbird,42.8,24,41.6,32,NA,NA,117.8,25,110.9,33,NA,NA,19.1,25,19.1,32,NA,NA,NA,NA,NA,NA,NA,NA,87.8,25,83,33,NA,NA,3.36,4.18,2
105,4388,Tyrannus dominicensis,Grey Kingbird,NA,NA,NA,NA,43.8,25,117.3,182,113.3,160,NA,NA,18.3,188,18.7,169,NA,NA,28.6,185,28.6,168,NA,NA,95.5,174,90.3,156,NA,NA,3.03,4.45,2
105,4389,Tyrannus caudifasciatus,Loggerhead Kingbird,NA,NA,NA,NA,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4402,Myiodynastes maculatus,Streaked Flycatcher,43,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4403,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,46.7,22,47.5,8,NA,NA,114.8,20,108.5,15,NA,NA,19.8,20,19.4,15,NA,NA,24,20,23.8,15,NA,NA,81.2,20,77.7,15,NA,NA,3.42,NA,NA
105,4408,Legatus leucophaius,Piratic Flycatcher,23,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
105,4410,Pitangus sulphuratus,Great Kiskadee,NA,NA,NA,NA,74,17,123.5,NA,119.9,NA,NA,NA,27.9,NA,27.2,NA,NA,NA,28.7,NA,28.7,NA,NA,NA,95.2,NA,93.7,NA,NA,NA,3.5,6.85,NA
105,4475,Cotinga amabilis,Lovely Cotinga,74,NA,69.8,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4502,Rupicola peruviana,Andean Cock-of-the-rock,283,NA,225,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4506,Pipra filicauda,Wire-tailed Manakin,13.8,NA,14,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,5
105,4507,Pipra mentalis,Red-capped Manakin,17.5,NA,17.6,NA,15,NA,56.7,NA,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,5
105,4508,Pipra erythrocephala,Golden-headed Manakin,12.8,NA,14.1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4513,Pipra coronata,Blue-crowned Manakin,8.1,NA,8.5,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4522,Chiroxiphia linearis,Long-tailed Manakin,18.9,NA,19.2,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4524,Chiroxiphia pareola,Blue-backed Manakin,16.3,NA,17.4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4526,Chiroxiphia caudata,Swallow-tailed Manakin,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
105,4532,Manacus candei,White-collared Manakin,18.2,NA,NA,NA,NA,NA,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA
105,4535,Manacus manacus,White-bearded Manakin,18.5,NA,16.8,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,5
106,4586,Thamnophilus punctatus,Slaty Antshrike,22.5,NA,20.4,NA,22.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
106,4678,Cercomacra tyrannina,Dusky Antbird,17.5,NA,16.6,NA,17.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,2
106,4729,Gymnopithys leucaspis,White-cheeked Antbird,25.9,NA,25.5,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
107,4808,Schoeniophylax phryganophila,Chotoy Spinetail,18.9,NA,19.4,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
107,4916,Margarornis squamiger,Pearled Treerunner,18.1,NA,18.2,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
107,4979,Dendrocincla fuliginosa,Plain-brown Woodcreeper,46.6,NA,38.6,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
108,5027,Formicarius analis,Black-faced Antthrush,62.4,NA,61.1,NA,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
108,5029,Formicarius nigricapillus,Black-headed Antthrush,77,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
108,5067,Grallaria quitensis,Tawny Antpitta,66.4,NA,64.6,NA,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
108,5069,Hylopezus perspicillatus,Spectacled Antpitta,42,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
111,5124,Cormobates leucophaeus,White-throated Treecreeper,22.4,36,22.8,27,NA,NA,89.7,30,88.3,19,NA,NA,22.5,29,21.7,19,NA,NA,19.6,29,18.9,18,NA,NA,65.6,30,64.4,20,NA,NA,2.5,NA,2
111,5125,Climacteris affinis,White-browed Treecreeper,21.9,13,21.4,11,NA,NA,88.4,30,87.4,25,NA,NA,20.4,17,20.2,12,NA,NA,16.9,16,16.5,13,NA,NA,57,17,56.3,14,NA,NA,2,2.86,2
111,5126,Climacteris erythrops,Red-browed Treecreeper,23.6,19,22.7,12,NA,NA,85.3,26,83.9,21,NA,NA,22.4,25,22,20,NA,NA,19.7,26,19,19,NA,NA,69.5,4,70.5,2,NA,NA,2,NA,2
111,5127,Climacteris picumnus,Brown Treecreeper,35.3,61,34.5,50,NA,NA,92.7,20,90.5,18,NA,NA,23.5,20,23,18,NA,NA,17.9,22,17.8,17,NA,NA,68.1,31,66.8,23,NA,NA,3,4.05,2
111,5128,Climacteris melanura,Black-tailed Treecreeper,33.5,38,30.3,26,NA,NA,96.9,37,93.6,25,NA,NA,24.6,23,23.4,22,NA,NA,19.1,23,17.9,22,NA,NA,70.4,37,66.9,25,NA,NA,2,4.35,2
111,5129,Climacteris rufa,Rufous Treecreeper,34.6,123,30.8,99,NA,NA,88.8,123,85.8,99,NA,NA,24.8,22,23.8,21,NA,NA,19.1,21,18.5,19,NA,NA,68.8,123,66.5,99,NA,NA,2,4.18,2
112,5130,Menura alberti,Albert's Lyrebird,927.8,6,NA,NA,NA,NA,275.5,17,259.2,9,NA,NA,110.7,16,102.9,9,NA,NA,40.8,16,40.7,7,NA,NA,540.1,14,392,2,NA,NA,1,NA,NA
112,5131,Menura novaehollandiae,Superb Lyrebird,1099.7,10,860.2,5,NA,NA,290.5,14,260,10,NA,NA,110.4,14,101.4,10,NA,NA,41.4,13,39.5,10,NA,NA,696.9,9,367.5,2,NA,NA,1,61.5,5
112,5132,Atrichornis rufescens,Rufous Scrub-bird,NA,NA,NA,NA,NA,NA,64.5,11,59.8,5,NA,NA,21.9,12,20.6,5,NA,NA,16.5,11,15.7,5,NA,NA,70.7,11,64.8,5,NA,NA,2,NA,NA
112,5133,Atrichornis clamosus,Noisy Scrub-bird,51.8,36,34.3,28,NA,NA,75.8,36,65.7,28,NA,NA,26.6,36,23.1,28,NA,NA,18,36,16.4,28,NA,NA,103.7,7,86,2,NA,NA,1,NA,NA
113,5134,Ailuroedus buccoides,White-eared Catbird,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,2
113,5136,Ailuroedus crassirostris,Green Catbird,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,2
113,5141,Amblyornis macgregoriae,Macgregor's Bowerbird,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,5
113,5147,Sericulus chrysocephalus,Regent Bowerbird,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,5
113,5148,Ptilonorhynchus violaceus,Satin Bowerbird,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5
113,5150,Chlamydera maculata,Spotted Bowerbird,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,5
113,5151,Chlamydera nuchalis,Great Bowerbird,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,5
113,5153,Chlamydera cerviniventris,Fawn-breasted Bowerbird,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,5
114,5158,Malurus alboscapulatus,White-shouldered Fairywren,7.6,NA,7.8,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
114,5159,Malurus melanocephalus,Red-backed Fairywren,7.9,21,7.9,29,NA,NA,44,23,43,20,NA,NA,19.3,23,19.4,20,NA,NA,11.2,23,11.6,18,NA,NA,49.4,21,55.2,4,NA,NA,3.5,1.14,2
114,5160,Malurus leucopterus,White-winged Fairywren,7.6,36,7.2,26,NA,NA,46,62,44.8,20,NA,NA,19.4,62,19.1,20,NA,NA,10.7,60,10.7,20,NA,NA,58.3,19,59.1,7,NA,NA,3.5,1.09,2
114,5161,Malurus cyaneus,Superb Fairywren,9.9,214,9.3,229,NA,NA,50.7,59,49.7,26,NA,NA,22.4,62,21.7,26,NA,NA,11.4,60,11.5,25,NA,NA,64.9,20,67.3,23,NA,NA,3.5,1.41,2
114,5162,Malurus splendens,Splendid Fairywren,10.6,43,9.6,43,NA,NA,52,26,50.2,20,NA,NA,22.9,26,22.5,11,NA,NA,11.7,21,11.7,10,NA,NA,62.2,24,62.6,19,NA,NA,3,1.44,2
114,5163,Malurus splendens melanotus,Blue-backed Fairywren,9,NA,8.7,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,2
114,5163,Malurus lamberti,Variegated Fairywren,8.2,49,8.1,47,NA,NA,47.2,64,46.3,30,NA,NA,21.1,62,20.6,24,NA,NA,11.9,58,11.6,24,NA,NA,78.5,10,75.1,9,NA,NA,3.5,1.3,2
114,5164,Malurus lamberti assimilis,Purple-backed Fairywren,7.8,NA,7.3,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,2
114,5164,Malurus amabilis,Lovely Fairywren,9.1,12,8.2,6,NA,NA,50.4,29,49,20,NA,NA,21.6,27,21.5,20,NA,NA,13.1,27,13.1,19,NA,NA,57.1,24,58.8,18,NA,NA,3,NA,2
114,5165,Malurus elegans,Red-winged Fairywren,9.9,468,9.3,323,NA,NA,52.8,57,50.6,57,NA,NA,23.9,18,23.8,5,NA,NA,12.8,16,13,5,NA,NA,78.8,28,73.5,6,NA,NA,2.5,1.11,2
114,5166,Malurus pulcherrimus,Blue-breasted Fairywren,9.4,29,9,18,NA,NA,50.4,39,48.5,13,NA,NA,22.4,39,22.3,12,NA,NA,12.2,35,11.9,12,NA,NA,74.3,30,71.6,8,NA,NA,3,1.25,2
114,5167,Malurus coronatus,Purple-crowned Fairywren,11.4,41,10.8,38,NA,NA,56.1,41,53.6,38,NA,NA,24.9,14,23.9,9,NA,NA,14.2,4,14.5,4,NA,NA,78.7,41,75,38,NA,NA,2.5,1.46,2
114,5169,Stipiturus ruficeps,Rufous-crowned Emuwren,5.1,20,4.8,9,NA,NA,39.2,44,38,19,NA,NA,14.8,20,14.5,11,NA,NA,10.2,18,9.8,9,NA,NA,74.7,32,68.5,15,NA,NA,2.5,1.14,NA
114,5170,Stipiturus malachurus,Southern Emuwren,7.7,15,7.8,7,NA,NA,43,19,41.7,19,NA,NA,19.1,19,19.1,19,NA,NA,10.9,19,11.4,18,NA,NA,113.3,57,107.6,31,NA,NA,3,1.23,NA
114,5171,Stipiturus mallee,Mallee Emuwren,5.5,1,NA,NA,NA,NA,40.1,17,39.4,7,NA,NA,15.2,16,14.8,7,NA,NA,11.2,16,10.7,7,NA,NA,85.1,16,79.3,6,NA,NA,3,NA,NA
114,5172,Amytornis barbatus,Grey Grasswren,18.8,58,18,69,NA,NA,60.2,60,58.5,72,NA,NA,24,6,22.73,3,NA,NA,13.4,6,11.9,3,NA,NA,108.5,5,99.3,3,NA,NA,2.5,2.39,NA
114,5173,Amytornis woodwardi,White-throated Grasswren,36.9,6,33.2,10,NA,NA,76.7,5,73.8,6,NA,NA,29.1,6,28,6,NA,NA,19,5,17.9,6,NA,NA,108.2,5,100.8,6,NA,NA,2,2.99,NA
114,5174,Amytornis dorotheae,Carpentarian Grasswren,24.3,3,22.2,4,NA,NA,63.7,6,63,4,NA,NA,24.1,6,23.8,4,NA,NA,16.5,6,15.8,4,NA,NA,88.8,4,82,4,NA,NA,2.5,2.51,NA
114,5175,Amytornis striatus,Striated Grasswren,20.6,6,18.9,3,NA,NA,64.2,26,61.6,11,NA,NA,24.6,26,23.4,10,NA,NA,13.8,25,13.9,11,NA,NA,89.2,25,86.2,10,NA,NA,2.5,2.77,2
114,5176,Amytornis goyderi,Eyrean Grasswren,17,10,16.4,7,NA,NA,59.5,17,57.7,9,NA,NA,23.6,16,22.6,9,NA,NA,12.8,15,12,9,NA,NA,82.9,16,77.5,8,NA,NA,2.5,NA,NA
