Species,wd,MaxD,MaxgrD,MeangrD,Mort
Licania coriacea,0.88,NA,NA,NA,NA
Licania cuprea,NA,438.3,0.46685752,0.14419064,NA
Licania davillifolia,0.88,NA,NA,NA,NA
Licania densiflora,0.785,571.6,0.706186571,0.243674737,NA
Licania discolor,0.887,NA,NA,NA,NA
Licania divaricata,0.88,273,0.314836678,NA,NA
Licania egleri,NA,441.5,NA,NA,NA
Licania elliptica,0.88,NA,NA,NA,NA
Licania emarginata,0.88,NA,NA,NA,NA
Licania fanshawei,0.887,416.1,0.378872508,0.143941184,NA
Licania gracilipes,0.8315,NA,NA,NA,NA
Licania granvillei,0.77,NA,NA,NA,NA
Licania guianensis,NA,219,NA,NA,NA
Licania harlingii,NA,412.45,0.440093078,NA,NA
Licania heteromorpha,0.8164,422.4,0.676868042,0.198040972,0.704690824
Licania hypoleuca,0.9088,344,NA,NA,NA
Licania impressa,0.921,648.5,0.430418409,0.198780485,NA
Licania incana,0.862,NA,NA,NA,NA
Licania intrapetiolaris,NA,360,NA,NA,NA
Licania irwinii,0.88,NA,NA,NA,NA
Licania kunthiana,0.88,318,0.424836601,0.184584864,2.472715837
Licania lata,NA,351.2,0.587227155,0.15682754,NA
Licania latifolia,NA,435,0.664705548,0.197052434,NA
Licania laxiflora,1.033,422.6,0.344963767,0.140532193,NA
Licania licaniiflora,0.67,449,0.501089505,0.173392781,NA
Licania longistyla,NA,351.6,0.440947941,0.124958322,NA
Licania macrophylla,0.7525,592.6,NA,NA,NA
Licania majuscula,0.8835,667.4,NA,NA,NA
Licania membranacea,0.88,475.6,0.569860701,0.204421469,0.29472153
Licania micrantha,0.836,453,0.592249307,0.173574662,0.521078437
Licania minutiflora,0.77,427.2,0.723182001,0.262002987,NA
Licania oblongifolia,0.8036,495,0.53786999,0.158775965,NA
Licania octandra,0.825,486.3,0.494722955,0.13453512,0.342838939
Licania ovalifolia,0.85,653.4,0.493045031,0.175142149,NA
Licania pallida,0.88,355.1,0.435066348,0.131339001,NA
Licania parviflora,0.82,NA,NA,NA,NA
Licania parvifructa,0.887,428.8,NA,NA,NA
Licania polita,0.88,NA,NA,NA,NA
Licania robusta,0.888666667,NA,NA,NA,NA
Licania rodriguesii,0.844,NA,NA,NA,NA
Licania sandwithii,0.882,400.8,0.362970348,0.09328981,NA
Licania sothersiae,0.839,NA,NA,NA,NA
Licania sprucei,NA,292.8,0.311011659,0.060822384,NA
Licania subarachnophylla,0.88,NA,NA,NA,NA
Licania unguiculata,0.88,661.4,0.820229958,0.155060726,NA
Licania urceolaris,0.88,NA,NA,NA,NA
Licaria armeniaca,0.553,195.45,NA,NA,NA
Licaria aurea,NA,222.25,0.746830226,0.204441705,NA
Licaria cannella,0.9385,497.2,0.655914829,0.155170775,0.411908612
Licaria chrysophylla,0.785,491.3,0.398013668,0.096023929,NA
Licaria guianensis,0.7475,343.45,0.461368399,0.130775681,NA
Licaria martiniana,NA,291.8,0.520936863,0.125536522,NA
Licaria pachycarpa,NA,279.65,0.433703909,0.141129004,NA
Licaria triandra,0.685,NA,NA,NA,NA
Lindackeria latifolia,NA,188,NA,NA,NA
Lindackeria paludosa,0.56,205.2,0.534503893,0.098264818,1.004501686
Lonchocarpus hedyosmus,0.771333333,NA,NA,NA,NA
Lonchocarpus heptaphyllus,0.68675,426,0.881303073,0.128341083,NA
Lonchocarpus sericeus,0.6935,NA,NA,NA,NA
Lonchocarpus spiciflorus,NA,217,0.601489706,0.143616208,2.450126793
Loreya arborescens,0.6,496.15,NA,NA,NA
Loxopterygium sagotii,0.561666667,516.4,NA,NA,NA
Luehea candicans,NA,268,0.675158755,0.190476532,NA
Luehea candida,0.91,NA,NA,NA,NA
Luehea cymulosa,0.48,1292.4,1.109381236,0.349778928,NA
Luehea paniculata,0.54,NA,NA,NA,NA
Luehea seemannii,0.417,NA,NA,NA,NA
Lueheopsis duckeana,0.6158,NA,NA,NA,NA
Lueheopsis hoehnei,NA,538,1.215085966,0.260172307,0.384713318
Lueheopsis rosea,0.33,551.7,1.233348135,0.163096902,NA
Lueheopsis rugosa,0.547,560.75,0.49962746,0.165542954,NA
Lunania parviflora,0.635,200,0.620068214,0.177581919,2.609773976
Mabea fistulifera,NA,241,0.869129199,0.413656051,NA
Mabea nitida,0.646666667,400,1.292995364,0.360272985,NA
Mabea occidentalis,NA,290,1.098095275,0.238121931,NA
Mabea paniculata,NA,181.75,NA,NA,NA
Mabea piriri,0.597666667,319.9,0.92811189,0.205562065,0.995009191
Mabea speciosa,0.635,223.1,0.466729798,0.117257199,0.930688104
Mabea subsessilis,0.6,NA,NA,NA,NA
Maburea trinervis,0.818,244.2,0.197872867,0.05307569,NA
Machaerium acutifolium,NA,430,NA,NA,NA
Machaerium hirtum,NA,261.1,0.6,0.198415493,NA
Machaerium villosum,0.745,NA,NA,NA,NA
Maclura tinctoria,0.753,526.75,1.997308846,NA,NA
Macoubea guianensis,0.414333333,509,0.702021916,0.188165281,NA
Macrocnemum roseum,0.45,614,1.568455943,0.349832142,NA
Macrolobium acaciifolium,0.551,520.5,NA,NA,NA
Macrolobium angustifolium,0.675,573,0.568917938,0.142259174,NA
Macrolobium bifolium,0.65,458.4,0.479386385,0.160670851,NA
Macrolobium gracile,NA,375.25,0.587900409,0.16360226,NA
Macrolobium limbatum,0.58,317.45,0.434206207,0.096988689,0.577303464
Macrolobium microcalyx,NA,381.05,0.541605121,0.174929161,0.740799506
Magnolia amazonica,NA,437.5,0.706493927,0.247171955,NA
Magonia pubescens,0.77,NA,NA,NA,NA
Mahurea exstipulata,0.73,NA,NA,NA,NA
Malmea dielsiana,NA,348.8,0.43982541,0.114745198,NA
Malouetia duckei,0.57,NA,NA,NA,NA
Malouetia tamaquarina,NA,189,NA,NA,NA
Manilkara bidentata,0.890607143,670.8,0.803012358,0.213301294,0.497400907
Manilkara cavalcantei,0.834,NA,NA,NA,NA
Manilkara huberi,0.921363636,843.4,0.875965193,0.251022701,0.347193838
Manilkara inundata,0.8,657.2,1.034992607,0.2360962,NA
Manilkara paraensis,0.86,NA,NA,NA,NA
Manilkara zapota,0.81,NA,NA,NA,NA
Maprounea guianensis,0.555,458.15,NA,NA,NA
Maquira calophylla,0.62,262.3,0.665914544,0.123626232,NA
Maquira coriacea,0.5112,739.5,1.049901186,0.240711737,NA
Maquira guianensis,0.766,307,0.554276533,0.177298204,0.596913861
Maquira sclerophylla,0.5135,538.75,0.59714636,0.134990084,NA
Margaritaria nobilis,0.622333333,552.6,0.976694073,0.296614061,NA
Marila laxiflora,NA,250,NA,NA,NA
Marlierea spruceana,NA,267.75,NA,NA,NA
Marlierea umbraticola,NA,224.1,0.311325313,0.083409696,NA
Marmaroxylon basijugum,NA,178.9,0.470598355,0.109883991,NA
Martiodendron parviflorum,0.841,NA,NA,NA,NA
Matayba arborescens,0.696666667,342.5,NA,NA,NA
Matayba guianensis,0.82,304.85,0.540275049,0.095025418,2.798008926
Matayba inelegans,0.82,210.25,0.229531996,0.070885887,NA
Matayba macrostylis,NA,349.05,NA,NA,NA
Matayba opaca,0.82,NA,NA,NA,NA
Matisia bicolor,NA,716.1,1.630308856,0.259897443,NA
Matisia bracteolosa,NA,254,0.489999484,0.105550935,NA
Matisia cordata,0.37275,609.75,1.424211597,0.366751275,0.792311775
Matisia lasiocalyx,NA,236.85,NA,NA,NA
Matisia malacocalyx,NA,215,0.414516267,0.097683451,NA
Matisia obliquifolia,NA,302.4,0.696138182,0.14246355,NA
Matisia ochrocalyx,0.57,301.6,0.656249358,0.144437228,0.943971384
Mauritia flexuosa,NA,401,NA,NA,0.967179169
Mauritiella aculeata,NA,145.85,NA,NA,NA
Mauritiella armata,NA,138,NA,NA,NA
Maytenus guyanensis,NA,427,NA,NA,NA
Maytenus krukovii,0.75,NA,NA,NA,NA
Maytenus myrsinoides,0.75,NA,NA,NA,NA
Maytenus oblongata,NA,350.3,0.362659553,0.074641204,NA
Melicoccus bijugatus,NA,560.5,NA,NA,NA
Meliosma herbertii,0.42,442.1,0.729905083,0.184246237,NA
Meriania urceolata,0.49,NA,NA,NA,NA
Metopium brownei,0.6,NA,NA,NA,NA
Metrodorea flavida,NA,276.25,0.641270543,0.169092342,NA
Mezilaurus duckei,0.6745,577.95,0.413767723,0.099904697,NA
Mezilaurus itauba,0.720333333,462,0.593360948,0.139221615,NA
Mezilaurus lindaviana,0.68,513.1,NA,NA,NA
Mezilaurus manausensis,NA,314.25,0.393889621,0.061358019,NA
Mezilaurus synandra,0.925,NA,NA,NA,NA
Miconia acuminata,NA,166,0.748715156,0.427957545,NA
Miconia burchellii,NA,286.95,1.454102649,0.71127054,NA
Miconia calvescens,0.42,NA,NA,NA,NA
Miconia chrysophylla,0.62,203.1,0.832468946,0.224214674,NA
Miconia cuspidata,NA,177.7,0.940569745,0.439184255,NA
Miconia dispar,NA,142.5,NA,NA,NA
Miconia dolichorrhyncha,NA,216.2,NA,NA,NA
Miconia elaeagnoides,0.75,320.4,0.918312867,0.417806219,NA
Miconia elata,0.47,233.7,0.637640437,0.218107761,NA
Miconia holosericea,0.62,201.15,NA,NA,NA
Miconia lepidota,0.75,NA,NA,NA,NA
Miconia longifolia,0.75,NA,NA,NA,NA
Miconia minutiflora,NA,224.75,NA,NA,NA
Miconia mirabilis,0.603,NA,NA,NA,NA
Miconia multiflora,NA,164.55,NA,NA,NA
Miconia myriantha,0.75,NA,NA,NA,NA
Miconia poeppigii,0.596666667,471.35,1.448907313,0.405176406,2.311185083
Miconia prasina,0.705,NA,NA,NA,NA
Miconia punctata,NA,179.75,0.76173448,0.259424315,5.185246521
Miconia pyrifolia,NA,302.2,1.279268629,0.516838272,3.935417447
Miconia regelii,NA,269.4,0.549917541,0.29476949,NA
Miconia splendens,0.66,263,0.989853997,0.342032396,NA
Miconia tomentosa,0.71,134.6,NA,NA,NA
Miconia trinervia,0.62,320.75,1.124447252,0.270229789,NA
Micrandra brownsbergensis,NA,353.2,NA,NA,NA
Micrandra elata,0.6,520.35,0.526176774,0.181018886,0.56635174
Micrandra rossiana,0.674,681.4,0.644415584,0.155253696,0.803525819
Micrandra siphonioides,0.584,216.25,0.267194458,0.123701138,NA
Micrandra spruceana,0.6,513.5,0.618523962,0.231316604,NA
Micrandra sprucei,NA,447.2,0.404721754,0.118772668,0.447393866
Micrandropsis scleroxylon,NA,414.65,0.506666667,0.096898666,NA
Micropholis acutangula,NA,477.8,NA,NA,NA
Micropholis cayennensis,NA,757.6,1.721283973,0.303384734,NA
Micropholis cylindrocarpa,NA,239.2,0.28444715,0.04037213,NA
Micropholis egensis,0.6,527.15,0.942933635,0.183767664,0.473247883
Micropholis gardneriana,NA,244,0.380116959,0.137755966,8.830980722
Micropholis guyanensis,0.657272727,458,0.738029068,0.224527695,0.615895663
Micropholis maguirei,NA,265.9,0.202360877,0.077961704,0.677638485
Micropholis melinoniana,0.53,800.25,0.879591015,0.218753589,NA
Micropholis mensalis,0.6585,436.8,0.632288856,0.171247837,NA
Micropholis obscura,NA,604,NA,NA,NA
Micropholis porphyrocarpa,NA,383,NA,NA,NA
Micropholis sanctae-rosae,NA,212.25,0.233292129,0.065437742,NA
Micropholis splendens,0.884,354,NA,NA,NA
Micropholis trunciflora,NA,191,NA,NA,NA
Micropholis venulosa,0.67,477.1,0.704675251,0.171866148,0.592288105
Micropholis williamii,0.718,233.4,0.303469428,0.092346794,NA
Minquartia guianensis,0.786714286,547.2,0.697255391,0.188250209,0.45725755
Mollia gracilis,0.49,NA,NA,NA,NA
Mollia lepidota,0.49,324,NA,NA,NA
Mollia speciosa,0.49,528.5,NA,NA,NA
Mollinedia killipii,NA,231,NA,NA,NA
Monopteryx uaucu,0.73,1000,NA,NA,NA
Mora excelsa,0.808666667,692.65,NA,NA,NA
Mora gonggrijpii,0.803857143,721,0.948553493,0.255094135,NA
Mora paraensis,0.85,NA,NA,NA,NA
Morisonia americana,0.88,NA,NA,NA,NA
Moronobea coccinea,0.832333333,606,0.57414507,0.234777445,NA
Mouriri acutiflora,0.81,316.95,0.323252023,0.158238924,NA
Mouriri angulicosta,0.9,NA,NA,NA,NA
Mouriri apiranga,NA,286.8,0.375410605,0.125412041,NA
Mouriri barinensis,0.79,NA,NA,NA,NA
Mouriri brachyanthera,NA,281.25,0.499651277,0.224632637,NA
Mouriri brevipes,0.775,386.6,NA,NA,NA
Mouriri collocarpa,0.833333333,320,0.358988555,0.123979791,NA
Mouriri crassifolia,0.895,405.95,0.384800936,0.169661529,NA
Mouriri grandiflora,0.9,337,NA,NA,NA
Mouriri huberi,0.791666667,441.05,0.401013086,0.188114847,NA
Mouriri nigra,0.895,373.5,0.317172633,0.136800079,NA
Mouriri sagotiana,0.9,NA,NA,NA,NA
Mouriri sideroxylon,0.88,NA,NA,NA,NA
Mouriri vernicosa,NA,351.2,NA,NA,NA
Mucoa duckei,NA,285,NA,NA,NA
Myrcia amazonica,0.82,271.5,0.372869545,0.107169411,NA
Myrcia deflexa,0.8,NA,NA,NA,NA
Myrcia fallax,0.82,287.4,0.556615484,0.136529291,NA
Myrcia grandis,NA,295,0.339153373,0.089860697,NA
Myrcia paivae,0.774,240.7,NA,NA,NA
Myrcia servata,NA,264.75,0.349982517,0.088570976,NA
Myrcia splendens,0.8,NA,NA,NA,NA
Myrciaria floribunda,0.785,267.75,0.404281889,0.169497263,0.679122577
Myrocarpus frondosus,0.775,NA,NA,NA,NA
Myroxylon balsamum,0.77375,711.8,1.290913822,0.451104413,NA
Naucleopsis caloneura,NA,245.6,0.519950025,0.085283559,0.852902098
Naucleopsis concinna,0.67,NA,NA,NA,NA
Naucleopsis glabra,NA,312.25,0.509265095,0.073422305,NA
Naucleopsis guianensis,0.65,NA,NA,NA,NA
Naucleopsis krukovii,NA,322.75,0.66995667,0.154018252,NA
Naucleopsis macrophylla,NA,347.35,NA,NA,NA
Naucleopsis pseudonaga,NA,394.8,0.71003239,0.204345384,NA
Naucleopsis ternstroemiiflora,0.612,238.95,NA,NA,NA
Naucleopsis ulei,0.67,307.25,0.66803567,0.174993315,NA
Nealchornea yapurensis,0.613333333,288,0.705621659,0.180532167,1.043327722
Nectandra amazonum,0.633333333,NA,NA,NA,NA
Nectandra cissiflora,NA,388.8,NA,NA,NA
Nectandra cuspidata,0.518,262.2,1.001876612,0.345990964,NA
Nectandra globosa,0.39,330.6,0.668003377,0.247368049,NA
Nectandra hihua,0.42,223,NA,NA,NA
Nectandra latissima,NA,784,NA,NA,NA
Nectandra longifolia,NA,542.2,1.135145862,0.347604227,NA
Nectandra pulverulenta,NA,405.6,1.215905357,0.281504956,NA
Nectandra purpurea,0.431,NA,NA,NA,NA
Nectandra reticulata,0.505,355,NA,NA,NA
Nectandra turbacensis,0.545,592,1.534232884,0.424116642,NA
Neea altissima,NA,175,NA,NA,NA
Neea amplifolia,NA,316.5,0.706776673,0.207557955,NA
Neea divaricata,0.49,316.8,0.881323375,0.219719896,1.113126934
Neea floribunda,0.62,362.6,0.948513005,0.163169532,NA
Neea macrophylla,NA,200,0.36851675,0.118493198,NA
Neea madeirana,0.548,NA,NA,NA,NA
Neea oppositifolia,0.893,214.95,NA,NA,NA
Neea ovalifolia,0.77,372.8,NA,NA,NA
Neea parviflora,NA,312.2,NA,NA,NA
Neea spruceana,NA,333.3,0.913478857,0.214551889,NA
Neea verticillata,NA,258.1,0.569660178,0.095220709,NA
Neoraputia paraensis,NA,376,NA,NA,NA
Newtonia paucijuga,0.619,NA,NA,NA,NA
Ochroma pyramidale,0.154166667,332.8,4.379615953,1.743234141,10.98389815
Ochthocosmus multiflorus,NA,184.3,0.318197454,0.064499484,NA
Ocotea aciphylla,0.5105,490,0.856010023,0.244206857,NA
Ocotea amazonica,0.443,NA,NA,NA,NA
Ocotea argyrophylla,NA,374.25,1.088011819,0.317311184,NA
Ocotea atirrensis,0.48,NA,NA,NA,NA
Ocotea bofo,NA,529,1.172708116,0.294595342,NA
Ocotea camphoromoea,NA,548.65,NA,NA,NA
Ocotea canaliculata,0.479333333,541.35,1.080890699,0.221876528,NA
Ocotea ceanothifolia,0.371,481.45,0.872528704,0.260283513,NA
Ocotea cernua,0.4535,447.1,0.835123371,0.193336271,NA
Ocotea cinerea,NA,528.45,0.846335188,0.224978738,NA
Ocotea costulata,0.49,NA,NA,NA,NA
Ocotea cujumary,NA,352.45,0.665010893,0.189871831,NA
Ocotea douradensis,NA,421.95,NA,NA,NA
Ocotea fendleri,0.46,NA,NA,NA,NA
Ocotea floribunda,0.3954,404,NA,NA,NA
Ocotea glomerata,0.508,NA,NA,NA,NA
Ocotea guianensis,0.529666667,370.25,1.110887907,0.517054672,2.483475602
Ocotea javitensis,NA,507.45,0.989330576,0.254955502,NA
Ocotea leucoxylon,0.462,455.95,0.810415235,0.293108454,NA
Ocotea longifolia,NA,396,2.418694504,0.760910408,NA
Ocotea matogrossensis,NA,416.1,1.15910004,0.466762844,NA
Ocotea myriantha,0.611,335.95,0.388622383,0.136926122,NA
Ocotea neesiana,0.55,NA,NA,NA,NA
Ocotea nigrescens,NA,313.9,0.475084333,0.161495466,NA
Ocotea oblonga,0.3855,417.5,NA,NA,NA
Ocotea pauciflora,0.59,NA,NA,NA,NA
Ocotea percurrens,0.519,395.5,0.583455482,0.184040515,NA
Ocotea petalanthera,0.462,NA,NA,NA,NA
Ocotea puberula,0.455,500,1.134340794,0.237574904,NA
Ocotea rubra,NA,1105.15,NA,NA,NA
Ocotea schomburgkiana,0.65,NA,NA,NA,NA
Ocotea splendens,0.45,367.85,0.626004117,0.20931583,NA
Ocotea subterminalis,NA,297.65,0.356112807,0.091609927,NA
Ocotea tessmannii,NA,521.5,NA,NA,NA
Ocotea tomentella,0.465,NA,NA,NA,NA
Oenocarpus bacaba,0.65,223,NA,NA,2.598469512
Oenocarpus bataua,NA,270,NA,NA,1.562987113
Oenocarpus distichus,NA,239.9,NA,NA,NA
Oenocarpus mapora,0.713,139.85,NA,NA,NA
Onychopetalum amazonicum,0.6235,320.5,0.320256205,0.122775522,NA
Onychopetalum periquino,NA,287.9,NA,NA,NA
Ophiocaryon heterophyllum,NA,226,0.415883832,NA,NA
Ormosia coarctata,0.6,NA,NA,NA,NA
Ormosia coccinea,0.625,536.65,NA,NA,NA
Ormosia costulata,0.6385,NA,NA,NA,NA
Ormosia coutinhoi,0.591333333,536.7,1.149058102,0.332599123,NA
Ormosia excelsa,0.61,NA,NA,NA,NA
Ormosia flava,0.58,NA,NA,NA,NA
Ormosia nobilis,0.58,NA,NA,NA,NA
Ormosia paraensis,0.6635,581.6,1.40778977,0.268293368,NA
Ormosia stipularis,0.58,NA,NA,NA,NA
Osteophloeum platyspermum,0.465857143,668.8,1.192928053,0.332315636,0.383367025
Otoba glycycarpa,NA,550,1.244190994,0.373528724,NA
Otoba gracilipes,0.443333333,NA,NA,NA,NA
Otoba lehmannii,0.39,NA,NA,NA,NA
Otoba novogranatensis,0.35,NA,NA,NA,NA
Otoba parvifolia,0.425833333,493.75,1.307917979,0.320653971,NA
Ouratea castaneifolia,0.77,NA,NA,NA,NA
Ouratea discophora,0.791,243.4,0.3998001,0.137021035,NA
Ouratea polygyna,0.77,NA,NA,NA,NA
Oxandra asbeckii,0.77,185,0.273027744,0.07472802,0.478855091
Oxandra espintana,0.63,190.75,0.381085293,0.082610719,NA
Oxandra mediocris,NA,252,0.584529412,0.169377963,2.299352312
Oxandra polyantha,NA,259,NA,NA,NA
Oxandra riedeliana,0.77,201.4,0.501873367,0.119255877,NA
Oxandra xylopioides,0.77,308.8,0.512294627,0.12736635,0.980855687
Pachira aquatica,0.376666667,555,0.508642956,0.130896857,NA
Pachira brevipes,0.56,176.55,0.18327606,0.03807894,1.840853556
Pachira insignis,0.384,540,1.024542064,0.248662958,NA
Pachira nervosa,NA,350.8,NA,NA,NA
Pachira paraensis,NA,383.85,NA,NA,NA
Pachira quinata,0.415,1444.75,2.095116953,0.616870433,NA
Pagamea coriacea,0.563333333,NA,NA,NA,NA
Pagamea guianensis,0.573333333,179.7,NA,NA,NA
Palicourea guianensis,0.54,197,NA,NA,NA
Palicourea roseocremea,NA,191.5,0.329482761,0.072924893,NA
Panopsis rubescens,0.52,361.8,NA,NA,NA
Panopsis sessilifolia,0.5035,NA,NA,NA,NA
Parahancornia fasciculata,0.473333333,646.5,NA,NA,NA
Parahancornia peruviana,0.52,459.35,NA,NA,NA
Paramachaerium ormosioides,NA,364,0.580458156,0.11068064,NA
Parapiptadenia excelsa,0.74,NA,NA,NA,NA
Parinari campestris,0.7072,786.6,1.195308138,0.391663516,NA
Parinari excelsa,0.704666667,NA,NA,NA,NA
Parinari klugii,NA,799.2,NA,NA,NA
Parinari montana,0.71,NA,NA,NA,NA
Parinari occidentalis,NA,330.5,0.883977901,0.204214711,NA
Parinari pachyphylla,0.69,NA,NA,NA,NA
Parinari parilis,NA,566.4,NA,NA,NA
Parinari rodolphii,0.7215,NA,NA,NA,NA
Parkia decussata,0.775,353.2,0.951517898,0.318869658,NA
Parkia discolor,0.64,NA,NA,NA,NA
Parkia gigantocarpa,0.26,NA,NA,NA,NA
Parkia igneiflora,0.47,441.6,0.906308851,0.31309999,NA
Parkia multijuga,0.39625,806,1.48842411,0.522301102,NA
Parkia nitida,0.383,1010.6,1.781519468,0.531962617,0.660748153
Parkia paraensis,0.415,NA,NA,NA,NA
Parkia pendula,0.5212,1072.1,1.527905639,0.426751385,NA
Parkia ulei,0.3785,724,NA,NA,NA
Parkia velutina,0.435,790,1.323086626,0.444181325,NA
Pausandra macrostachya,NA,156.85,0.240432104,0.07887409,0.836012501
Pausandra martinii,NA,134.1,NA,NA,NA
Pausandra trianae,0.59,190.5,0.40028636,0.109636686,1.661686028
Paypayrola grandiflora,0.63,174.95,0.255527437,0.066075176,NA
Paypayrola guianensis,0.5815,168.5,NA,NA,NA
Peltogyne catingae,0.813333333,528.5,1.024014499,0.203759554,NA
Peltogyne confertiflora,0.77,NA,NA,NA,NA
Peltogyne heterophylla,0.87,608.3,1.215044764,0.377862259,NA
Peltogyne paniculata,0.796142857,399.8,0.793846044,0.187367972,NA
Peltogyne paradoxa,0.83,NA,NA,NA,NA
Peltogyne purpurea,0.79,NA,NA,NA,NA
Peltogyne subsessilis,0.76,NA,NA,NA,NA
Peltogyne venosa,0.765,NA,NA,NA,NA
Pentaclethra macroloba,0.603454545,342.7,0.91383812,0.230866017,NA
Pentaclethra macrophylla,0.841,NA,NA,NA,NA
Pentagonia macrophylla,NA,250.55,NA,NA,NA
Pentagonia parvifolia,NA,171.2,0.282895391,0.070380842,NA
Pentagonia spathicalyx,NA,327,0.734870892,0.218564787,NA
Pera bicolor,0.627,331.2,NA,NA,NA
Pera coccinea,0.73,NA,NA,NA,NA
Pera glabrata,0.67,454,NA,NA,NA
Perebea angustifolia,0.517,354.25,1.028922884,0.226213868,NA
Perebea guianensis,0.56,302,0.573225639,0.13947157,0.526745761
Perebea mollis,0.365,393,0.94002448,0.252285318,NA
Perebea tessmannii,NA,355.6,0.886017358,0.210698346,NA
Perebea xanthochyma,0.56,339,0.862655167,0.155165843,NA
Peridiscus lucidus,0.73,NA,NA,NA,NA
Persea caerulea,0.425,525.8,2.546226887,0.843428625,NA
Phenakospermum guyannense,NA,170.8,NA,NA,NA
Physocalymma scaberrimum,NA,409.5,0.349060239,0.086862616,NA
Piper reticulatum,0.33,135,NA,NA,NA
Piptadenia gonoacantha,0.68,540.95,2.436334056,1.014564024,NA
Piptadenia viridiflora,0.73,NA,NA,NA,NA
Platonia insignis,0.723142857,677,0.609675966,0.213760174,NA
Platycarpum orinocense,NA,304.7,NA,NA,NA
Platymiscium pinnatum,0.72125,663,0.75,0.285371126,NA
Platymiscium trinitatis,0.864,NA,NA,NA,NA
Platypodium elegans,0.75,550.5,0.564096703,0.181513044,NA
Pleradenophora membranifolia,NA,203,0.529106781,0.157349363,NA
Pleuranthodendron lindenii,0.68,504.85,0.808300883,0.298224112,NA
Pleurothyrium intermedium,NA,280.2,NA,NA,NA
Pleurothyrium parviflorum,0.47,NA,NA,NA,NA
Pleurothyrium poeppigii,NA,283.95,1.20688239,0.271094094,NA
Pleurothyrium vasquezii,NA,278.15,NA,NA,NA
Plumeria rubra,0.5,NA,NA,NA,NA
Poecilanthe hostmannii,0.62,NA,NA,NA,NA
Poecilanthe parviflora,NA,508.1,NA,NA,NA
Poeppigia procera,0.735,NA,NA,NA,NA
Pogonophora schomburgkiana,0.8325,264.6,0.332341518,0.093813958,0.814868785
Poraqueiba guianensis,0.742333333,316.85,0.453929007,0.111427893,0.218381432
Poraqueiba sericea,0.79,337.25,NA,NA,NA
Porcelia nitidifolia,0.4,NA,NA,NA,NA
Posoqueria latifolia,0.569666667,264.5,0.33621353,0.098460653,NA
Posoqueria longiflora,0.455,NA,NA,NA,NA
Poulsenia armata,0.350428571,710.95,1.812191104,0.522967672,1.144849296
Pourouma bicolor,0.353166667,460.2,2.143408715,0.695273527,2.426401071
Pourouma cecropiifolia,0.355666667,381.5,1.976844358,0.540076292,2.389471045
Pourouma cucura,NA,413.4,1.517764439,0.531060712,NA
Pourouma guianensis,0.38,433.9,1.760624362,0.598454689,2.285186571
Pourouma melinonii,0.32,405.8,1.738371157,0.697339591,NA
Pourouma minor,0.436,490.25,1.414856208,0.484216844,1.495052973
Pourouma mollis,0.39,438,1.524262102,0.662538024,1.68345313
Pourouma ovata,NA,353.2,1,0.332640488,1.524930265
Pourouma tomentosa,0.395,449.15,1.567983297,0.480517297,1.761759693
Pourouma velutina,NA,375,1.223307561,0.474116358,NA
Pourouma villosa,0.34,366.95,0.856764766,0.359029444,NA
Pouteria ambelaniifolia,0.697,365.1,0.411346929,0.128472422,NA
Pouteria anomala,0.693833333,528.45,0.678987156,0.171454042,0.586115319
Pouteria bangii,NA,421.75,0.632050909,0.16559323,NA
Pouteria benai,0.88,NA,NA,NA,NA
Pouteria bilocularis,0.708,507.75,0.478608737,0.139601912,NA
Pouteria buenaventurensis,0.56,NA,NA,NA,NA
Pouteria caimito,0.784285714,408.75,0.674464633,0.13581094,0.716132421
Pouteria campanulata,NA,304.55,0.515496614,0.133563863,NA
Pouteria cladantha,0.942333333,358.5,0.485740724,0.134664201,0.802687155
Pouteria coriacea,0.895,362.15,0.446211454,0.125566126,NA
Pouteria cuspidata,0.9,502.8,0.70647285,0.192968951,0.828605389
Pouteria decorticans,NA,277.4,0.41839449,0.086414308,0.195343813
Pouteria durlandii,0.69,428.8,0.75850957,0.209648963,NA
Pouteria egregia,0.886833333,383.35,0.766515114,0.20399976,NA
Pouteria elegans,0.73,382,0.796266887,0.178715778,NA
Pouteria engleri,0.774333333,513.4,0.440352282,0.149648792,0.534336101
Pouteria ephedrantha,0.758,565.4,0.927313318,0.244561131,0.754217965
Pouteria erythrochrysa,NA,323.2,0.3996109,0.106464033,NA
Pouteria eugeniifolia,1.1125,579.4,0.598336683,0.170465691,0.186425623
Pouteria filipes,0.964,511.4,0.716443625,0.148135332,NA
Pouteria fimbriata,NA,403.15,0.314845855,0.109530382,NA
Pouteria franciscana,0.6,855.7,1.200554012,0.300258415,NA
Pouteria glomerata,0.679,279.8,0.755822388,0.23880205,NA
Pouteria gomphiifolia,NA,579,0.562414266,0.192215631,NA
Pouteria gongrijpii,0.7994,348.8,0.416843099,0.119399925,0.208668839
Pouteria grandis,0.93,NA,NA,NA,NA
Pouteria guianensis,0.9295,556.5,0.562556515,0.141951006,0.254016423
Pouteria hispida,0.874,484.65,0.463330939,0.125408874,NA
Pouteria jariensis,NA,450.05,0.530011935,0.127754536,NA
Pouteria krukovii,NA,565.4,0.936360654,0.253452831,NA
Pouteria laevigata,NA,847.2,NA,NA,NA
Pouteria macrocarpa,0.6455,NA,NA,NA,NA
